Date_of_publication,1609,1611,1613,1607,1615,1620,1598,1613,1605,1598,1607,1631,1608,1606,1599,1611,1606,1613,1606,1608,1612,1631,1607,1605,1608,1606,1608,1630,1600,1602,1600,1607,1607,1609,1618,1610,1647,1599,1594,1598,1594,1598,1662,1616,1599,1631,1605,1599,1606,1615,1638,1607,1612,1609,1601,1616,1600,1601,1602,1605,1607,1594,1592,1592,1594,1598,1591,1592,1601,1592,1594,1597,1623,1608,1590,1590,1594,1604,1594,1633,1594,1602,1602,1605,1610,1601,1604,1606,1607,1606,1613,1610,1623,1600,1623,1608,1608,1607,1607,1607,1607,1608,1608,1608,1600,1600,1923,1601,1601,1600,1594,1593,1599,1595,1599,1599,1605,1623,1623,1623,1598,1600,1623,1623,1623,1623,1623,1623,1604,1623,1623,1623,1608,1622,1597,1597,1623,1623,1623,1594,1609,1607,1607,1595,1623,1611,1609,1605,1638,1591,1592,1605,1927,1609,1591,1598,1599,1594,1936,1605,1594,1596,1602,1595,1600,1657,1598,1596,1911,1594,1602,1605,1594,1599,1594,1600,1607,1600,1594,1590,1601
Date of first performance (best guess),1608,1608,1607,1606,1607,1609,1598,1605,1604,1596,1604,1605,1608,1602,1597,1604,1605,1610,1602,1608,1604,1602,1593,1604,1607,1606,1604,1605,1599,1601,1599,1606,1602,1596,1610,1608,1610,1587,1589,1590,1591,1589,1600,1598,1599,1610,1604,1599,1604,1602,1607,1603,1610,1597,1600,1610,1599,1598,1601,1603,1606,1594,1588,1587,1588,1595,1588,1585,1590,1589,1589,1588,1606,1607,1587,1588,1588,1588,1592,1589,1593,1599,1600,1604,1602,1600,1603,1604,1601,1605,1610,1607,1603,1596,1597,1607,1605,1604,1603,1606,1606,1605,1605,1607,1595,1598,1590,1598,1598,1592,1588,1591,1590,1592,1598,1595,1604,1592,1591,1591,1597,1597,1605,1606,1600,1592,1608,1610,1600,1599,1599,1596,1605,1604,1593,1595,1601,1594,1607,1592,1607,1607,1606,1590,1592,1610,1602,1600,1591,1589,1590,1596,1597,1607,1590,1586,1591,1590,1591,1589,1592,1594,1599,1591,1599,1600,1591,1593,1601,1594,1601,1599,1589,1597,1588,1599,1606,1599,1592,1588,1594
Date of first performance (earliest),1607,1607,1607,1604,1606,1608,1598,1602,1604,1596,1604,1595,1607,1602,1597,1601,1605,1609,1601,1607,1603,1602,1590,1600,1606,1605,1604,1604,1599,1601,1599,1606,1602,1594,1610,1607,1607,1587,1588,1588,1588,1589,1600,1598,1599,1609,1603,1599,1603,1601,1607,1603,1610,1597,1600,1609,1599,1598,1601,1603,1605,1594,1588,1585,1587,1594,1585,1584,1585,1589,1587,1587,1606,1607,1587,1588,1587,1587,1591,1589,1589,1599,1600,1603,1600,1600,1602,1603,1601,1605,1608,1607,1603,1596,1597,1606,1605,1604,1603,1606,1604,1604,1605,1605,1594,1598,1585,1598,1598,1592,1588,1590,1584,1588,1598,1593,1604,1592,1587,1587,1596,1596,1601,1606,1598,1589,1607,1609,1600,1599,1599,1594,1605,1601,1591,1595,1600,1587,1605,1584,1606,1607,1606,1590,1589,1610,1601,1587,1591,1587,1587,1594,1593,1606,1589,1583,1587,1580,1589,1586,1592,1594,1594,1590,1598,1600,1590,1590,1590,1592,1599,1599,1588,1595,1587,1591,1605,1599,1589,1588,1594
Date of first performance (latest),1608,1608,1607,1607,1611,1610,1598,1609,1604,1596,1604,1606,1608,1605,1597,1608,1606,1612,1603,1608,1605,1602,1593,1604,1608,1606,1605,1608,1599,1601,1599,1607,1602,1600,1611,1608,1611,1589,1592,1592,1592,1591,1600,1598,1599,1611,1605,1599,1605,1607,1608,1603,1610,1597,1601,1610,1599,1598,1601,1603,1606,1594,1589,1591,1588,1597,1588,1585,1590,1590,1590,1590,1611,1608,1587,1588,1590,1589,1593,1590,1593,1601,1601,1605,1603,1600,1604,1606,1601,1606,1613,1608,1604,1598,1602,1607,1606,1607,1604,1607,1607,1606,1608,1608,1598,1598,1596,1598,1598,1592,1589,1593,1594,1595,1598,1596,1605,1592,1592,1592,1597,1600,1608,1607,1600,1593,1609,1611,1602,1599,1599,1598,1606,1604,1597,1597,1602,1598,1608,1594,1608,1607,1606,1590,1592,1611,1603,1605,1594,1591,1592,1594,1603,1608,1591,1587,1592,1593,1594,1594,1592,1594,1600,1594,1600,1600,1598,1594,1610,1594,1602,1600,1591,1599,1590,1600,1607,1599,1593,1590,1598
Date span,2,2,1,4,6,3,1,8,1,1,1,12,2,4,1,8,2,4,3,2,3,1,4,5,3,2,2,5,1,1,1,2,1,7,2,2,5,3,5,5,5,3,1,1,1,3,3,1,3,7,2,1,1,1,2,2,1,1,1,1,2,1,2,7,2,4,4,2,6,2,4,4,6,2,1,1,4,3,3,2,5,3,2,3,4,1,3,4,1,2,6,2,2,3,6,2,2,4,2,2,4,3,4,4,5,1,12,1,1,1,2,4,11,8,1,4,2,1,6,6,2,5,8,2,3,5,3,3,3,1,1,5,2,4,7,3,3,12,4,11,3,1,1,1,4,2,3,19,4,5,6,1,11,3,3,5,6,14,6,9,1,1,7,5,3,1,9,5,21,3,4,null,4,5,4,10,3,1,5,3,5
Author,Armin Robert,Barry Lording,Beaumont Francis,Beaumont Francis,Beaumont and Fletcher,Beaumont and Fletcher,Brandon Samuel,Cary Elizabeth,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chapman George,Chettle Henry,Daniel Samuel,Daniel Samuel,Day John,Day John,Day John,Dekker Thomas,Dekker Thomas,Dekker Thomas,Dekker Thomas,Dekker Thomas,Dekker and Webster,Greville Fulke,Field Nathan,Fletcher John,Fletcher John,Greene Robert,Greene Robert,Greene Robert,Greene Robert,Greene and Lodge,Haughton William,Haughton William,Heywood Thomas,Heywood Thomas,Heywood Thomas,Heywood Thomas,Heywood Thomas,Heywood Thomas,Heywood Thomas,Heywood Thomas,Jonson Ben,Jonson Ben,Jonson Ben,Jonson Ben,Jonson Ben,Jonson Ben,Jonson Ben,Jonson Ben,Jonson Ben,Kyd Thomas,Kyd Thomas,Kyd Thomas,Lodge Thomas,Shakespeare William,Lyly John,Lyly John,Lyly John,Lyly John,Lyly John,Lyly John,Shakespeare William,Markham and Machin,Marlowe Christopher,Marlowe Christopher,Marlowe and Nashe,Marlowe Christopher,Marlowe Christopher,Marlowe Christopher,Marlowe Christopher,Marston John,Marston John,Marston John,Marston John,Marston John,Marston John,Marston John,Marston John,Marston John,Marston and Barkstead,Mason John,Shakespeare & Middleton,Shakespeare William,Shakespeare William,Middleton Thomas,Middleton Thomas,Middleton Thomas,Middleton Thomas,Middleton Thomas,Middleton Thomas,Middleton Thomas,Middleton Thomas,Middleton Thomas,Shakespeare William,Shakespeare William,Munday Anthony,Munday and Chettle,Munday and Chettle,Nashe Thomas,Peele George,Peele George,Peele George,Peele George,Porter Henry,Shakespeare William,Rowley Samuel,Shakespeare and others,Shakespeare and others,Shakespeare and others,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William,Shakespeare William; Middleton Thomas,Shakespeare and Peele,Shakespeare and Wilkins,Sharpham Edward,Sharpham Edward,Sidney Mary,Shakespeare William,Tourneur Cyril,Shakespeare William,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Wilkins George,Wilson et al.,Wilson Robert,Wilson Robert,Yarington Robert
Company of First Production,Children of the King's Revels,Children of the King's Revels,Children of the Queen's Revels,Children of Paul's (second),Children of the Queen's Revels,King's Men,NA,NA,Children of the Queen's Revels,Admiral's (Nottingham's) Men,Children of Paul's (second),Unknown,Children of the Queen's Revels,unknown,Admiral's (Nottingham's) Men,Children of the Chapel (second),Children of the Queen's Revels,Children of the Queen's Revels,Children of the Chapel (second),Children of the Queen's Revels,Children of the Queen's Revels,Admiral's (Nottingham's) Men,NA,Children of the Queen's Revels,Children of the King's Revels,Children of the Queen's Revels,Children of the Queen's Revels,Prince Henry's Men,Admiral's (Nottingham's) Men,Children of Paul's (second);Lord Chamberlain's (Hunsdon's) Men,Admiral's (Nottingham's) Men,Prince Henry's Men,Queen Anne's Men,NA,Lady Elizabeth's Men; Prince Charles's Men (first),Children of the Queen's Revels,unknown,unknown,Queen Elizabeth's Men,unknown,unknown,Derby's (Strange's) Men,Admirals Men at the Rose,Admiral's (Nottingham's) Men,Derby's (Strange's) Men,Queen Henrietta Maria's Men,Queen Anne's Men,Derby's (Strange's) Men,Queen Anne's Men,Queen Anne's Men,Queen Anne's Men,Worcester's Men,King's Men,Children of the Queen's Revels,Children of the Chapel (second),Children of the Queen's Revels,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Children of the Chapel (second),King's Men,King's Men,NA,Uncertain,Derby's (Strange's) Men,Admiral's (Nottingham's) Men,Lord Chamberlain's (Hunsdon's) Men,Children of Paul's (first),Children of Paul's (first),Children of Paul's (first); Children of the Chapel (second),Children of Paul's (first),Children of Paul's (first),unknown,King's Men,Children of the King's Revels,Admiral's (Nottingham's) Men,Admiral's (Nottingham's) Men,Children of the Chapel (first),Admiral's (Nottingham's) Men,Pembroke's Men,Queen Henrietta Maria's Men,Admiral's (Nottingham's) Men,Children of Paul's (second),Children of Paul's (second),Children of the Queen's Revels,Children of Paul's (second),Children of Paul's (second),Children of the Queen's Revels,Children of the Queen's Revels,Children of Paul's (second),Children of the Queen's Revels,Children of the Queen's Revels,Children of the King's Revels,King's Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Children of the King's Revels,Children of Paul's (second),Children of Paul's (second),Children of Paul's (second),Children of Paul's (second),King's Men,Children of Paul's (second),King's Men,Children of Paul's (second),Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Uncertain,Admiral's (Nottingham's) Men,Admiral's (Nottingham's) Men,Children of the Chapel (first),Admiral's (Nottingham's) Men,unknown,unknown,Queen Elizabeth's Men,Admiral's (Nottingham's) Men,Lord Chamberlain's (Hunsdon's) Men,Prince Henry's Men,Derby's (Strange's) Men,Pembroke's Men,Pembroke's Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,King's Men,Lord Chamberlain's (Hunsdon's) Men,Derby's (Strange's) Men,King's Men,King's Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,King's Men,King's Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Lord Chamberlain's (Hunsdon's) Men,Unknown,Derby's (Strange's) Men; Pembroke's Men; Sussex's Men,King's Men,Children of the King's Revels,Children of the Queen's Revels,NA,unknown,King's Men,King's Men,King's Men,Queen Elizabeth's Men,Queen Elizabeth's Men,unknown,Admiral's (Nottingham's) Men,Uncertain,Children of the King's Revels,Derby's (Strange's) Men,Queen Elizabeth's Men,Sussex's Men,unknown,Lord Strange's Men (?),Queen Elizabeth's Men,Derby's (Strange's) Men,Admiral's (Nottingham's) Men,Lord Chamberlain's (Hunsdon's) Men,Unknown,Admiral's (Nottingham's) Men,Admiral's (Nottingham's) Men,unknown,Admiral's (Nottingham's) Men,Lord Chamberlain's Men at the Globe (?),Pembroke's Men,Lord Chamberlain's (Hunsdon's) Men,null,Queen Elizabeth's Men,Lord Chamberlain's (Hunsdon's) Men,Children of the Chapel (first),Oxford's Men,King's Men,Admiral's (Nottingham's) Men,unknown,Queen Elizabeth's Men,Admiral's (Nottingham's) Men
Database of Early English Playbooks ID,552,562,604,468,620,677,250,586,407,249,472,769,5069.01,419,278,573,445,585,421,5069.02,577,761,5064.02,411,522,442,521,755,283,343,307,460,499,536,657,555,5143.24,275,185,255,189,175,NA,642,5048.01,773,392,5048.02,412,631,529,502,579,541,320,5074.13,284,313,327,401,504,169,147,150,188,256,133,140,317,141,192,239,5081.31,532,5017.01,5017.02,196,369,197,812,207,325,326,391,561,314,359,426,490,428,599,553,5081.04,301,5081.03,509,530,466,464,489,491,506,523,520,297,295,NA,319,318,305,195,162,280,211,281,234,386,5081.2,5081.21,5081.22,240,293,5081.12,5081.35,5081.1,5081.05,5081.26,5081.36,348,5081.19,5081.3,5081.15,517,694,225,217,5081.13,5081.02,5081.29,171,546,478,495,146,5081.11,565,538,409,204,135,142,408,NA,545,164,252,277,166,NA,390,168,214,342,210,306,1144,258,215,NA,181,332,383,194,274,205,299,484,291,191,128,322
Date_span,2,2,1,4,6,3,1,8,1,1,1,12,2,4,1,8,2,4,3,2,3,1,4,5,3,2,2,5,1,1,1,2,1,7,2,2,5,3,5,5,5,3,1,1,1,3,3,1,3,7,2,1,1,1,2,2,1,1,1,1,2,1,2,7,2,4,4,2,6,2,4,4,6,2,1,1,4,3,3,2,5,3,2,3,4,1,3,4,1,2,6,2,2,3,6,2,2,4,2,2,4,3,4,4,5,1,12,1,1,1,2,4,11,8,1,4,2,1,6,6,2,5,8,2,3,5,3,3,3,1,1,5,2,4,7,3,3,12,4,11,3,1,1,1,4,2,3,19,4,5,6,1,11,3,3,5,6,14,6,9,1,1,7,5,3,1,9,5,21,3,4,2,4,5,4,10,3,1,5,3,5
Filename,TwoMaidsofMore-Clack_1609,RamAlley_1611,KnightofBurningPestle_SilentReg_1613,WomanHater_1607,CupidsRevenge_1615,Philaster_1620_v2,VirtuousOctavia_1598,Mariam_1613,AllFools_1605,BlindBeggar_1598,BussyDAmbois_1607,CaesarandPompey_1631,ByronsConspiracy_1608,GentlemanUsher_1606,HumorousDaysMirth_1599,MayDay_1611,MonsieurdOlive_1606,RevengeofBussy_SilentReg_1613,SirGilesGoosecap_1606,ByronsTragedy_1608,WidowsTears_1612,Hoffman_1631,Cleopatra_V_1607,Philotas_1605,HumourOutofBreath_1608,IsleofGulls_1606,LawTricks_1608,2HonestWhore_1630,OldFortunatus_1600,Satiromastix_1602,ShoemakersHoliday_SilentReg_1600,WhoreofBabylon_1607,SirThomasWyatt_1607,Mustapha_SilentReg_1609,AmendsforLadies_1618,FaithfulShepherdess_1610,WomansPrize_1647,Alphonsus_1599,FriarBacon_1594,JamesIV_1598,OrlandoFurioso_1594,LookingGlass_1598,DevilandHisDame_1662,EnglishmenforMyMoney_1616,1EdwardIV_1599,1FairMaidoftheWest_1631,1_If_You_Know_Not_Me_1605,2EdwardIV_1599,2IfYouKnowNotMe_1606,FourPrenticesofLondon_1615,RapeofLucrece_1638,WomanKilledwithKindness_SilentReg_1607,Alchemist_SilentReg_1612,CaseIsAltered_SilentReg_1609,CynthiasRevels_SilentReg_1601,Epicene_SilentReg_1616,EveryManOutofHisHumour_SilentReg_1600,EveryManInHisHumour_SilentReg_1601,Poetaster_SilentReg_1602,SejanusHisFall_SilentReg_1605,Volpone_SilentReg_1607,Cornelia_1594,SolimanandPerseda_1592,SpanishTragedy_SilentReg_1592,WoundsofCivilWar_1594,LovesLaboursLost_1598,Endymion_1591,Gallathea_1592,LovesMetamorphosis_1601,Midas_1592,MotherBombie_1594,WomanintheMoon_1597,Macbeth_SilentReg_1623.xml,DumbKnight_1608,1Tamburlaine_SilentReg_1590,2Tamburlaine_1590,Dido_SilentReg_1594,DoctorFaustus_1604,EdwardII_1594,JewofMalta_SilentReg_1633,MassacreatParis_1594,AntonioandMellida_1602,AntoniosRevenge_SilentReg_1602,DutchCourtesan_1605,Histriomastix_1610,JackDrumsEntertainment_1601,Malcontent_1604,Parasitaster_1606,WhatYouWill_1607,WonderofWomen_SilentReg_1606,InsatiateCountess_1613,Turk_1610,MeasureforMeasure_SilentReg_1623,MerchantofVenice_1600,MerryWives_1623,FamilyofLove_1608,MadWorldmyMasters_SilentReg_1608,MichaelmasTerm_SilentReg_1607,Phoenix_SilentReg_1607,Puritan_1607,RevengersTragedy_SilentReg_1607,TricktoCatchtheOldOne_SilentReg_1608,YorkshireTragedy_SilentReg_1608,YourFiveGallants_SilentReg_1608,MidSummerNightsDream_1600,MuchAdoAboutNothing_1600,JohnaKentJohnaCumber_1923,DeathofRobertEarlofHuntington_1601,DownfallofRobertEarlofHuntington_1601,SummersLastWillandTestament_1600,BattleofAlcazar_1594,EdwardI_1593,LoveofKingDavidandFairBethsabe_SilentReg_1599,OldWivesTale_1595,1TwoAngryWomenofAbingdon_1599,RomeoandJuliet_1599,WhenYouSeeMe_1605,1HenryVI_1623,2HenryVI_1623,3HenryVI_1623,1HenryIV_1598,2HenryIV_1600_QB,AllsWell_1623,AntonyandCleopatra_1623,AsYouLikeIt_1623,ComedyofErrors_SilentReg_1623,Coriolanus_SilentReg_1623,Cymbeline_1623,Hamlet_1604,HenryV_1623,JuliusCaesar_SilentReg_1623,KingJohn_1623,KingLear_1608,Othello_1622,RichardIII_1597,RichardII_1597,TwelfthNight_SilentReg_1623,TwoGentlemenofVerona_1623,TimonofAthens_SilentReg_1623,TitusAndronicus_1594,Pericles_1609,CupidsWhirligig_1607,Fleer_1607,Antonius_V_1595,TamingoftheShrew_1623,AtheistsTragedy_SilentReg_1611,TroilusandCressida_1609,1Jeronimo_1605,1Selimus_SilentReg_1638,TroublesomeReignofKingJohn_1591,ArdenofFaversham_SilentReg_1592,CaptainThomasStukeley_1605,EdmondIronside_1927,EveryWomaninHerHumour_1609,FairEm_1591,FamousVictories_1598,GeorgeaGreene_1599,JackStraw_1593,JohnofBordeaux_1936_HandShiftfree,KingLeir_1605,KnacktoKnowaKnave_1594,KnacktoKnowanHonestMan_1596,ALarumforLondon_1602,Locrine_1595,LookAboutYou_1600,LustsDominion_1657,Mucedorus_1598,EdwardIII_1596,SirThomasMore-1911,TamingofaShrew_1594,ThomasLordCromwell_1602,Trial_of_Chivalry_1605,TrueTragedyofRichardIII_1594,WarningforFairWomen_1599,WarsofCyrus_1594,WeakestGoethToTheWall_1600,MiseriesofEnforcedMarriage_1607,1SirJohnOldcastle_1600,CobblersProphecy_1594,ThreeLordsandThreeLadies_1590,TwoLamentableTragedies_1601
Genre,Comedy,Comedy,Burlesque Romance,Comedy,Tragedy,Tragicomedy,Tragicomedy,Tragedy,Comedy,Comedy,Foreign History,Classical History,Tragedy,Comedy,Comedy,Comedy,Comedy,Tragedy,Comedy,Tragedy,Comedy,Tragedy,Tragedy,Tragedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Allegorical History,History,Tragedy,Comedy,Pastoral,Comedy,Heroical Romance,Comedy,History,Romantic Comedy,Biblical Moral,Comedy,Comedy,History,Comedy,History,History,History,Heroical Romance,Tragedy,Tragedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Tragedy,Comedy,Tragedy,Tragedy,Tragedy,Classical History,Comedy,Classical Legend (Comedy),Classical Legend (Comedy),Pastoral,Comedy,Comedy,Comedy,Tragedy,Comedy,Heroical Romance,Heroical Romance,Tragedy,Tragedy,History,Tragedy,Foreign History,Tragicomedy,Tragedy,Comedy,Comedy,Domestic Comedy,Tragicomedy,Comedy,Comedy,Tragedy,Tragedy,Tragedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Tragedy,Comedy,Tragedy,Comedy,Comedy,Comedy,Comedy,History,History,Comedy,Foreign History,History,Biblical History,Romance,Comedy,Tragedy,History,History,History,History,History,History,Comedy,Tragedy,Comedy,Comedy,Tragedy,Tragicomedy,Tragedy,History,Tragedy,History,Tragedy,Tragedy,History,History,Comedy,Comedy,Tragedy,Tragedy,Tragicomedy,Comedy,Comedy,Tragedy,Comedy,Tragedy,Tragedy,Pseudo-History,Heroical Romance,History,Tragedy,History,History,Comedy,Romantic Comedy,History,Romantic Comedy,History,Romance,Legendary History,Comedy,Tragicomedy,History,Tragedy,Comedy,Tragedy,Romance,History,History,Comedy,History,Romance,History,Tragedy,Classical History,comedy,Domestic Drama,History,Comedy,Moral,Tragedy
Metadata_source,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R,W&R
Play_type,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional,Closet,Closet,Boys Professional,Adult Professional,Boys Professional,Adult Professional (?); Unacted (?),Boys Professional,Boys Professional,Adult Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional,Closet,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional; Boys Professional,Adult Professional,Adult Professional,Adult Professional,Closet,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Closet (?) Translation,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional; Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Boys Professional,Adult Professional,Boys Professional,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional (?); Unacted (?),Adult Professional,Adult Professional,Boys Professional,Boys Professional,Closet Translation,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult professional,Adult Professional,Adult Professional,Boys Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional,Adult Professional
